,Country,GDP_USD_billions,Region,,,
0,United States,28781.08,North America,,,
1,ChiNorth America,18532.63,Asia,,,
2,Germany,4591.1,Europe,,,
3,Japan,4110.45,Asia,,,
4,India,3937.01,Asia,,,
5,United Kingdom,3495.26,Europe,,,
6,France,3130.01,Europe,,,
7,Brazil,2331.39,South America,,,
8,Italy,2328.03,Europe,,,
9,CaNorth Americada,2242.18,North America,,,
10,Russia,2056.84,Europe,,,
11,Mexico,2017.02,North America,,,
12,Australia,1790.35,Oceania,,,
13,South Korea,1760.95,Asia,,,
14,Spain,1647.11,Europe,,,
15,Indonesia,1475.69,Asia,,,
16,Netherlands,1142.51,Europe,,,
17,Turkey,1113.56,Europe,,,
18,South Americaudi Arabia,1106.02,Asia,,,
19,Switzerland,938.46,Europe,,,
20,Poland,844.62,Europe,,,
21,Taiwan,802.96,Asia,,,
22,Belgium,655.19,Europe,,,
23,Sweden,623.05,Europe,,,
24,ArgentiNorth America,604.26,South America,,,
25,Ireland,564.02,Europe,,,
26,Thailand,548.89,Asia,,,
27,Austria,540.89,Europe,,,
28,Israel,530.66,Asia,,,
29,United Arab Emirates,527.8,Asia,,,
30,Norway,526.95,Europe,,,
31,Singapore,525.23,Asia,,,
32,Philippines,471.52,Asia,,,
33,VietNorth Americam,465.81,Asia,,,
34,Iran,464.18,Asia,,,
35,Bangladesh,455.16,Asia,,,
36,Malaysia,445.52,Asia,,,
37,Denmark,409.99,Europe,,,
38,Hong Kong,406.78,Asia,,,
39,Colombia,386.08,South America,,,
40,South Africa,373.23,Afreeca,,,
41,Romania,369.97,Europe,,,
42,Egypt,347.59,Afreeca,,,
43,Pakistan,338.24,Asia,,,
44,Chile,333.76,South America,,,
45,Czech Republic,325.88,Europe,,,
46,Finland,308.06,Europe,,,
47,Portugal,298.95,Europe,,,
48,Kazakhstan,296.74,Asia,,,
49,Peru,282.46,South America,,,
50,Algeria,266.78,Afreeca,,,
51,Iraq,265.89,Asia,,,
52,New Zealand,257.62,Oceania,,,
53,Nigeria,252.74,Afreeca,,,
54,Greece,250.28,Europe,,,
55,Qatar,244.69,Asia,,,
56,Hungary,223.41,Europe,,,
57,Ethiopia,205.13,Afreeca,,,
58,Ukraine,188.94,Europe,,,
59,Kuwait,160.4,Asia,,,
60,Morocco,152.38,Afreeca,,,
61,Slovakia,140.81,Europe,,,
62,Dominican Republic,127.36,North America,,,
63,Ecuador,121.59,South America,,,
64,Puerto Rico,117.76,South America,,,
65,Guatemala,110.04,North America,,,
66,Oman,108.93,Asia,,,
67,Bulgaria,107.93,Europe,,,
68,Kenya,104.0,Afreeca,,,
69,Venezuela,102.33,South America,,,
70,Uzbekistan,97.96,Asia,,,
71,Costa Rica,96.06,North America,,,
72,Angola,92.12,Afreeca,,,
73,Luxembourg,88.56,Europe,,,
74,Croatia,88.08,Europe,,,
75,PaNorth Americama,87.35,North America,,,
76,Ivory Coast,86.91,Afreeca,,,
77,Uruguay,82.6,South America,,,
78,Turkmenistan,81.9,Asia,,,
79,Serbia,81.87,Europe,,,
80,Lithuania,81.17,Europe,,,
81,Tanzania,79.6,Afreeca,,,
82,Azerbaijan,78.75,Asia,,,
83,GhaNorth America,75.24,Afreeca,,,
84,Sri Lanka,74.85,Asia,,,
85,DR Congo,73.76,Afreeca,,,
86,Slovenia,72.1,Europe,,,
87,Belarus,69.05,Europe,,,
88,Myanmar,68.01,Asia,,,
89,Uganda,56.31,Afreeca,,,
90,Tunisia,54.71,Afreeca,,,
91,Macau,54.68,Asia,,,
92,Jordan,53.57,Asia,,,
93,Cameroon,53.2,Afreeca,,,
94,Bolivia,49.33,South America,,,
95,Libya,48.22,Afreeca,,,
96,Bahrain,46.79,Asia,,,
97,Paraguay,45.82,South America,,,
98,Latvia,45.47,Europe,,,
99,Cambodia,45.15,Asia,,,
100,Nepal,44.18,Asia,,,
101,Estonia,43.49,Europe,,,
102,Honduras,37.35,North America,,,
103,Senegal,35.45,Afreeca,,,
104,El South Americalvador,35.33,North America,,,
105,Zimbabwe,34.4,Afreeca,,,
106,Cyprus,34.22,Europe,,,
107,Iceland,33.34,Europe,,,
108,Georgia,32.86,Europe,,,
109,Papua New Guinea,31.72,Oceania,,,
110,Zambia,29.87,Afreeca,,,
111,Bosnia and HerzegoviNorth America,29.08,Europe,,,
112,Trinidad and Tobago,28.36,North America,,,
113,Sudan,26.86,Afreeca,,,
114,Guinea,25.45,Afreeca,,,
115,Albania,25.43,Europe,,,
116,Armenia,25.41,Asia,,,
117,Haiti,24.05,North America,,,
118,Mozambique,22.98,Afreeca,,,
119,Malta,22.74,Europe,,,
120,Mongolia,21.94,Asia,,,
121,BurkiNorth America Faso,21.9,Afreeca,,,
122,Lebanon,21.78,Asia,,,
123,Mali,21.66,Afreeca,,,
124,BotswaNorth America,21.42,Afreeca,,,
125,Benin,21.37,Afreeca,,,
126,GuyaNorth America,21.18,South America,,,
127,Gabon,21.01,Afreeca,,,
128,Jamaica,20.1,North America,,,
129,Nicaragua,18.83,North America,,,
130,Niger,18.82,Afreeca,,,
131,Chad,18.7,Afreeca,,,
132,Palestine,18.6,Asia,,,
133,Moldova,18.36,Europe,,,
134,Yemen,16.94,Asia,,,
135,Madagascar,16.46,Afreeca,,,
136,Mauritius,16.36,Afreeca,,,
137,North Macedonia,15.87,Europe,,,
138,Brunei,15.51,Asia,,,
139,Congo,15.5,Afreeca,,,
140,Laos,15.19,Asia,,,
141,Afghanistan,14.47,Asia,,,
142,Bahamas,14.39,South America,,,
143,Rwanda,13.7,Afreeca,,,
144,Kyrgyzstan,13.6,Asia,,,
145,Tajikistan,12.95,Asia,,,
146,Somalia,12.8,Afreeca,,,
147,North Americamibia,12.76,Afreeca,,,
148,Kosovo,11.32,Europe,,,
149,Malawi,11.24,Afreeca,,,
150,Equatorial Guinea,10.71,Afreeca,,,
151,Mauritania,10.63,Afreeca,,,
152,Togo,9.83,Afreeca,,,
153,Montenegro,8.01,Europe,,,
154,Maldives,7.2,Asia,,,
155,Barbados,6.86,North America,,,
156,South Sudan,6.52,Afreeca,,,
157,Fiji,5.8,Oceania,,,
158,Eswatini,5.08,Afreeca,,,
159,Liberia,4.75,Afreeca,,,
160,Sierra Leone,4.56,Afreeca,,,
161,Djibouti,4.36,Afreeca,,,
162,SuriNorth Americame,4.34,South America,,,
163,Aruba,4.07,North America,,,
164,Andorra,3.9,Europe,,,
165,Belize,3.3,North America,,,
166,Bhutan,3.11,Asia,,,
167,Burundi,3.08,Afreeca,,,
168,Central African Republic,2.81,Afreeca,,,
169,Cape Verde,2.72,Afreeca,,,
170,Gambia,2.69,Afreeca,,,
171,South Americaint Lucia,2.58,North America,,,
172,Lesotho,2.4,Afreeca,,,
173,Seychelles,2.2,Afreeca,,,
174,Guinea-BisSouth Americau,2.15,Afreeca,,,
175,Antigua and Barbuda,2.13,North America,,,
176,South American Marino,2.03,Europe,,,
177,East Timor,1.99,Asia,,,
178,Solomon Islands,1.71,Oceania,,,
179,Comoros,1.42,Afreeca,,,
180,GreNorth Americada,1.41,North America,,,
181,Vanuatu,1.29,Oceania,,,
182,South Americaint Kitts and Nevis,1.13,North America,,,
183,South Americaint Vincent and the GreNorth Americadines,1.13,North America,,,
184,South Americamoa,1.02,Oceania,,,
185,São Tomé and Príncipe,0.75,Afreeca,,,
186,Dominica,0.71,North America,,,
187,Tonga,0.58,Oceania,,,
188,Micronesia,0.48,Oceania,,,
189,Kiribati,0.31,Oceania,,,
190,Palau,0.31,Oceania,,,
191,Marshall Islands,0.3,Oceania,,,
192,North Americauru,0.16,Oceania,,,
193,Tuvalu,0.07,Oceania,,,